,name,floor,height,year,area
346,ホテルニューオータニ ガーデンタワー,40,144.5,1974.0,東京都千代田区
347,住友不動産青葉台タワー(ラ・トゥール青葉台),33,144.5,2009.0,東京都目黒区
348,品川インターシティA棟,32,144.5,1998.0,東京都港区
349,豊洲シエルタワー,40,144.35,2006.0,東京都江東区
350,グランドターミナルタワー本八幡,40,144.2,2013.0,千葉県市川市
351,あべのグラントゥール,40,144.07,2004.0,大阪府大阪市
352,ザ・タワー横須賀中央,38,144.0,2015.0,神奈川県横須賀市
353,マルイト難波ビル,31,144.0,2009.0,大阪府大阪市
354,メガシティタワーズ The West,40,143.8,2011.0,大阪府八尾市
355,メガシティタワーズ The East,41,143.8,2013.0,大阪府八尾市
356,ローレルタワーサンクタス梅田,44,143.75,2007.0,大阪府大阪市
357,ヒルトン福岡シーホーク(旧JALリゾート シーホークホテル福岡),36,143.25,1995.0,福岡県福岡市
358,D’グラフォート札幌ステーションタワー,40,143.15,2007.0,北海道札幌市
359,住友生命仙台中央ビル(SS30),31,143.0,1989.0,宮城県仙台市
360,アップルタワー,44,143.0,2007.0,東京都江東区
361,大崎ブライトタワー,31,142.9,2015.0,東京都品川区
362,ベルマージュ堺壱番館,43,142.83,1999.0,大阪府堺市
363,パークコート渋谷 ザ タワー,39,142.69,2020.0,東京都渋谷区
364,パークタワー北浜,41,142.45,2014.0,大阪府大阪市
365,品川 V-TOWER,43,142.4,2003.0,東京都港区
366,三宮ミュージアムタワー,40,142.3,2008.0,兵庫県神戸市
367,ジオタワー高槻ミューズガーデン,42,142.23,2014.0,大阪府高槻市
368,リガーレ日本橋人形町,39,142.2,2007.0,東京都中央区
369,(仮称)日本橋二丁目地区第一種市街地再開発事業(A街区),26,142.0,2018.0,東京都中央区
370,キングマンション堂島川,43,142.0,1998.0,大阪府大阪市
371,コスギ サード アヴェニュー ザ・レジデンス,38,142.0,2020.0,神奈川県川崎市
372,文京シビックセンター,28,142.0,1999.0,東京都文京区
373,大阪駅前第三ビル,34,142.0,1979.0,大阪府大阪市
374,日本橋室町三丁目地区第一種市街地再開発事業A地区新築工事,26,142.0,2019.0,東京都中央区
375,白金タワー,42,141.9,2005.0,東京都港区
